Action,Specific point / Chapter,Actor name,Actor Name New,Country,"Affiliation
1) civil society/NGO 2) business organisations 3) consulting 4) government 5) academia 6) personal"
Action 08,Cost contribution arrangements (CCAs),International Chamber of Commerce (ICC),International Chamber of Commerce (ICC),world,2
Action 08,Cost contribution arrangements (CCAs),IFA Grupo Mexicano (Mexican Branch of the International Fiscal Association),IFA Mexico,Mexico,1
Action 08,Cost contribution arrangements (CCAs),Instituto de Contadores Publicos de Mexico,Instituto de Contadores Publicos de Mexico,Mexico,3
Action 08,Cost contribution arrangements (CCAs),International Alliance for Principled Taxation (IAPT),International Alliance for Principled Taxation (IAPT),world,2
Action 08,Cost contribution arrangements (CCAs),IOGP (International Association of Oil & Gas Producers),IOGP (International Association of Oil & Gas Producers),UK,2
Action 08,Cost contribution arrangements (CCAs),Keidanren,Keidanren,Japan,2
Action 08,Cost contribution arrangements (CCAs),KPMG LLP,KPMG,world,3
Action 08,Cost contribution arrangements (CCAs),ktMINE,ktMINE,US,3
Action 08,Cost contribution arrangements (CCAs),NERA Economic Consulting,NERA,world,3
Action 08,Cost contribution arrangements (CCAs),NFTC,National Foreign Trade Council (NFTC),US,2
Action 08,Cost contribution arrangements (CCAs),Patrick Breslin (NERA Economic Consulting),NERA,world,3
Action 08,Cost contribution arrangements (CCAs),Pricewaterhouse Coopers LLP,PwC,world,3
Action 08,Cost contribution arrangements (CCAs),Quantera Global,Quantera Global,world,3
Action 08,Cost contribution arrangements (CCAs),Radboud Universiteit,Radboud Universiteit,Netherlands,5
Action 08,Cost contribution arrangements (CCAs),RBS RoeverBroennerSusat,RBS RoeverBroennerSusat,Germany,3
Action 08,Cost contribution arrangements (CCAs),RELX Group,RELX Group,UK,3
Action 08,Cost contribution arrangements (CCAs),SANOFI,SANOFI,France,2
Action 08,Cost contribution arrangements (CCAs),Silicon Valley Tax Directors Group (SVTDG),Silicon Valley Tax Directors Group (SVTDG),US,2
Action 08,Cost contribution arrangements (CCAs),Software Coalition,Software Coalition,US,2
Action 08,Cost contribution arrangements (CCAs),SwissHoldings,SwissHoldings,switzerland,2
Action 08,Cost contribution arrangements (CCAs),"Tax Executives Institute, Inc","Tax Executives Institute, Inc",world,3
Action 08,Cost contribution arrangements (CCAs),Taxand,Taxand,world,3
Action 08,Cost contribution arrangements (CCAs),United States Council for International Business (USCIB),United States Council for International Business (USCIB),US,3
Action 08,Hard-to-value intangibles,Aitor Navarro,Aitor Navarro Ibarrola,Spain,5
Action 08,Hard-to-value intangibles,ANIE Federazione Nazionale Imprese Electtrotecniche ed Elettroniche,ANIE Federazione Nazionale Imprese Electtrotecniche ed Elettroniche,italy,2
Action 08,Hard-to-value intangibles,Argentine Association of Tax Studies,Argentine Association of Tax Studies,Argentina,3
Action 08,Hard-to-value intangibles,AstraZeneca,AstraZeneca,Sweden,2
Action 08,Hard-to-value intangibles,,AstraZeneca,UK,2
Action 08,Hard-to-value intangibles,BDI,BDI,Germany,2
Action 08,Hard-to-value intangibles,BEPS Monitoring Group (BMG),BEPS Monitoring Group (BMG),world,1
Action 08,Hard-to-value intangibles,BIAC,BIAC,world,2
Action 08,Hard-to-value intangibles,BusinessEurope,BusinessEurope,europe,2
Action 08,Hard-to-value intangibles,CBI,CBI (Confederation of British Industry),UK,2
Action 08,Hard-to-value intangibles,Canadian Institute of Chartered Business Valuators,Canadian Institute of Chartered Business Valuators,canada,3
Action 08,Hard-to-value intangibles,Chartered Institute of Taxation (CIOT),Chartered Institute of Taxation (CIOT),UK,5
Action 08,Hard-to-value intangibles,Confederation of Swedish Enterprise,Confederation of Swedish Enterprise,Sweden,2
Action 08,Hard-to-value intangibles,Deloitte UK,Deloitte,world,3
Action 08,Hard-to-value intangibles,Deloitte US,Deloitte,world,3
Action 08,Hard-to-value intangibles,DRTP Consulting Inc.,DRTP Consulting Inc.,world,3
Action 08,Hard-to-value intangibles,Duff & Phelps,Duff & Phelps,world,3
Action 08,Hard-to-value intangibles,EBIT,EBIT,europe,3
Action 08,Hard-to-value intangibles,Ernst & Young,Ernst & Young,world,3
Action 08,Hard-to-value intangibles,FIDAL,FIDAL,world,3
Action 08,Hard-to-value intangibles,Gazprom,Gazprom,Russia,2
Action 08,Hard-to-value intangibles,Grant Thornton,Grant Thornton,world,3
Action 08,Hard-to-value intangibles,GSK,GSK,UK,2
Action 08,Hard-to-value intangibles,Harris Consulting & Tax Ltd,Harris Consulting & Tax Ltd,Israel,3
Action 08,Hard-to-value intangibles,International Alliance for Principled Taxation (IAPT),International Alliance for Principled Taxation (IAPT),world,2
Action 08,Hard-to-value intangibles,International Chamber of Commerce (ICC),International Chamber of Commerce (ICC),world,2
Action 08,Hard-to-value intangibles,IFA Grupo Mexicano (Mexican Branch of the International Fiscal Association),IFA Mexico,Mexico,1
Action 08,Hard-to-value intangibles,Irish Tax Institute,Irish Tax Institute,Ireland,3
Action 08,Hard-to-value intangibles,Japan Foreign Trade Council (JFTC),Japan Foreign Trade Council (JFTC),Japan,2
Action 08,Hard-to-value intangibles,Keidanren,Keidanren,Japan,2
Action 08,Hard-to-value intangibles,KPMG,KPMG,world,3
Action 08,Hard-to-value intangibles,Loyens & Loeff,Loyens & Loeff,Netherlands,3
Action 08,Hard-to-value intangibles,MacFarlanes,MacFarlanes,UK,3
Action 08,Hard-to-value intangibles,NERA,NERA,world,3
Action 08,Hard-to-value intangibles,National Foreign Trade Council (NFTC),National Foreign Trade Council (NFTC),US,2
Action 08,Hard-to-value intangibles,Pricewaterhouse Coopers LLP,PwC,world,3
Action 08,Hard-to-value intangibles,Quantera Global,Quantera Global,world,3
Action 08,Hard-to-value intangibles,RELX Group,RELX Group,UK,3
Action 08,Hard-to-value intangibles,Silicon Valley Tax Directors Group,Silicon Valley Tax Directors Group (SVTDG),US,2
Action 08,Hard-to-value intangibles,SwissHoldings,SwissHoldings,switzerland,2
Action 08,Hard-to-value intangibles,"Tax Executives Institute, Inc","Tax Executives Institute, Inc",world,3
Action 08,Hard-to-value intangibles,Treaty Policy Working Group,Treaty Policy Working Group,world,2
Action 08,Hard-to-value intangibles,United States Council for International Business (USCIB),United States Council for International Business (USCIB),US,3
Action 06,Treaty abuse (June 2015),AFG,AFG,France,2
Action 06,Treaty abuse (June 2015),AFME-BBA (Association for Financial Markets in Europe - British Bankers’ Association),AFME (Association for Financial Markets in Europe),europe,2
Action 06,Treaty abuse (June 2015),,BBA (British Bankers’ Association),UK,2
Action 06,Treaty abuse (June 2015),AIMA,AIMA,UK,3
Action 06,Treaty abuse (June 2015),ALFI,ALFI,France,3
Action 06,Treaty abuse (June 2015),American Chamber of Commerce in the Netherlands,American Chamber of Commerce,US,2
Action 06,Treaty abuse (June 2015),Asset Managers,Asset Managers,France,2
Action 06,Treaty abuse (June 2015),Association of Global Custodians,Association of Global Custodians,US,2
Action 06,Treaty abuse (June 2015),Association of Investment Companies (AIC),Association of Investment Companies (AIC),UK,2
Action 06,Treaty abuse (June 2015),Federation of German Industries (BDI),Federation of German Industries (BDI),Germany,2
Action 06,Treaty abuse (June 2015),BEPS Monitoring Group (BMG),BEPS Monitoring Group (BMG),world,1
Action 06,Treaty abuse (June 2015),BIAC,BIAC,world,2
Action 06,Treaty abuse (June 2015),"Bijman, Tim","Bijman, Tim",Netherlands,5
Action 06,Treaty abuse (June 2015),Bombardier,Bombardier,canada,2
Action 06,Treaty abuse (June 2015),British Private Equity and Venture Capital Association (BVCA),British Private Equity and Venture Capital Association (BVCA),UK,2
Action 06,Treaty abuse (June 2015),British Property Federation,British Property Federation,UK,2
Action 06,Treaty abuse (June 2015),BusinessEurope,BusinessEurope,europe,2
Action 06,Treaty abuse (June 2015),CBI,CBI (Confederation of British Industry),UK,2
Action 06,Treaty abuse (June 2015),CCABI,CCABI,Ireland,3
Action 06,Treaty abuse (June 2015),CFE and AOTCA,Confédération Fiscale Européenne (CFE),europe,3
Action 06,Treaty abuse (June 2015),,AOTCA (Asia Oceania Tax Consultants Association),asia,3
Action 06,Treaty abuse (June 2015),Brazilian National Confederation of Industry (CNI),Brazilian National Confederation of Industry (CNI),Brasil,2
Action 06,Treaty abuse (June 2015),Commercial Real Estate Finance Council Europe,Commercial Real Estate Finance Council Europe,europe,3
Action 06,Treaty abuse (June 2015),Confederation of Swedish Enterprise,Confederation of Swedish Enterprise,Sweden,2
Action 06,Treaty abuse (June 2015),Deloitte UK,Deloitte,world,3
Action 06,Treaty abuse (June 2015),EBF,EBF,europe,2
Action 06,Treaty abuse (June 2015),EBIT,EBIT,europe,3
Action 06,Treaty abuse (June 2015),Efama,Efama,europe,2
Action 06,Treaty abuse (June 2015),EPRA,EPRA,europe,2
Action 06,Treaty abuse (June 2015),EVCA,EVCA (European Private Equity & Venture Capital Association),belgium,1
Action 06,Treaty abuse (June 2015),EY,EY,world,3
Action 06,Treaty abuse (June 2015),FTI Consulting,FTI Consulting,US,3
Action 06,Treaty abuse (June 2015),Gazprom Marketing and Trading Ltd,Gazprom,Russia,2
Action 06,Treaty abuse (June 2015),Global Pension Funds,Global Pension Funds,world,2
Action 06,Treaty abuse (June 2015),Grant Thornton l Horlings l IAPT,Grant Thornton,world,3
Action 06,Treaty abuse (June 2015),ICAEW,ICAEW,UK,3
Action 06,Treaty abuse (June 2015),,ICAEW,Ireland,3
Action 06,Treaty abuse (June 2015),ICC,ICC,world,2
Action 06,Treaty abuse (June 2015),ICI Global,ICI Global,US,3
Action 06,Treaty abuse (June 2015),IDSA,IDSA,Ireland,2
Action 06,Treaty abuse (June 2015),IFA Mexico,IFA Mexico,Mexico,1
Action 06,Treaty abuse (June 2015),INREV,INREV (European Association for Investors in Non-Listed Real Estate Vehicles),Netherlands,3
Action 06,Treaty abuse (June 2015),The Investment Association,The Investment Association,UK,2
Action 06,Treaty abuse (June 2015),Investment Property Forum (IPF),Investment Property Forum (IPF),UK,2
Action 06,Treaty abuse (June 2015),Irish Funds Industry Association,Irish Funds Industry Association,Ireland,2
Action 06,Treaty abuse (June 2015),Irish Tax Institute,Irish Tax Institute,Ireland,3
Action 06,Treaty abuse (June 2015),Japan Foreign Trade Council (JFTC),Japan Foreign Trade Council (JFTC),Japan,2
Action 06,Treaty abuse (June 2015),Keidanren,Keidanren,Japan,2
Action 06,Treaty abuse (June 2015),Loan Market Association,Loan Market Association,UK,3
Action 06,Treaty abuse (June 2015),LSTA,LSTA,US,3
Action 06,Treaty abuse (June 2015),M&G Group,M&G Group,UK,2
Action 06,Treaty abuse (June 2015),Managed Funds Association,Managed Funds Association,US,2
Action 06,Treaty abuse (June 2015),Matheson,Matheson,world,3
Action 06,Treaty abuse (June 2015),NAREIT,NAREIT,US,2
Action 06,Treaty abuse (June 2015),National Association of Publicly Traded Partnerships,National Association of Publicly Traded Partnerships,US,2
Action 06,Treaty abuse (June 2015),National Foreign Trade Council (NFTC),National Foreign Trade Council (NFTC),US,2
Action 06,Treaty abuse (June 2015),NN Group,NN Group,Netherlands,2
Action 06,Treaty abuse (June 2015),Dutch Association of Tax Advisers,Dutch Association of Tax Advisers,Netherlands,5
Action 06,Treaty abuse (June 2015),PEGCC,PEGCC,US,3
Action 06,Treaty abuse (June 2015),Petrofac Group,Petrofac,UK,2
Action 06,Treaty abuse (June 2015),PwC,PwC,world,3
Action 06,Treaty abuse (June 2015),Ricardo Augusto Gil Reis Rodrigues,Ricardo Augusto Gil Reis Rodrigues,Brasil,5
Action 06,Treaty abuse (June 2015),Ropes & Gray,Ropes & Gray,US,3
Action 06,Treaty abuse (June 2015),"Tax Executives Institute, Inc","Tax Executives Institute, Inc",world,3
Action 06,Treaty abuse (June 2015),Taxand,Taxand,world,3
Action 06,Treaty abuse (June 2015),TD Bank,TD Bank,US,2
Action 06,Treaty abuse (June 2015),United States Council for International Business (USCIB),United States Council for International Business (USCIB),US,3
Action 06,Treaty abuse (June 2015),VNO-NCW (Confederation of Netherlands Industry and Employers),VNO-NCW (Confederation of Netherlands Industry and Employers),Netherlands,2
Action 06,Treaty abuse (June 2015),ZIA (German Property Federation),ZIA (German Property Federation),Germany,2
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,100 Group,100 Group,UK,2
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,AFME-BBA (Association for Financial Markets in Europe - British Bankers’ Association),AFME (Association for Financial Markets in Europe),europe,2
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,,BBA (British Bankers’ Association),UK,2
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,Association des compagnies d'assurances et de réassurances,Association des compagnies d'assurances et de réassurances,France,2
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,Association of British Insurers (ABI),Association of British Insurers (ABI),UK,2
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,AstraZeneca,AstraZeneca,Sweden,2
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,,AstraZeneca,UK,2
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,BDI,BDI,Germany,2
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,BEPS Monitoring Group (BMG),BEPS Monitoring Group (BMG),world,1
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,BIAC,BIAC,world,2
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,BP,BP,UK,2
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,Brazilian National Confederation of Industry (CNI),Brazilian National Confederation of Industry (CNI),Brasil,2
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,BusinessEurope,BusinessEurope,europe,2
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,CBI,CBI (Confederation of British Industry),UK,2
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,CFE and AOTCA,Confédération Fiscale Européenne (CFE),europe,3
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,,AOTCA (Asia Oceania Tax Consultants Association),asia,3
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,Chartered Accountants Australia and New Zealand,Chartered Accountants Australia and New Zealand,Australia,3
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,,Chartered Accountants Australia and New Zealand,New Zealand,3
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,CIOT,CIOT,UK,3
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,Confederation of Swedish Enterprise,Confederation of Swedish Enterprise,Sweden,2
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,Consultative Committee of Accountancy Bodies - Ireland,Consultative Committee of Accountancy Bodies - Ireland,Ireland,3
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,Cristián Gárate,Cristián Gárate,chile,5
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,Deloitte UK,Deloitte,world,3
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,European Banking Federation (EBF),European Banking Federation (EBF),europe,2
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,European Business Initiative on Taxation (EBIT),European Business Initiative on Taxation (EBIT),europe,3
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,EY,EY,world,3
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,Fédération Française des Sociétés d'Assurances (FFSA),Fédération Française des Sociétés d'Assurances (FFSA),France,2
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,Gazprom,Gazprom,Russia,2
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,Global Federation of Insurance Associations (GFIA),Global Federation of Insurance Associations (GFIA),world,2
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,Grant Thornton,Grant Thornton,world,3
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,GSK,GSK,UK,2
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,Harris Consulting & Tax Ltd,Harris Consulting & Tax Ltd,Israel,3
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,Ian Mitchell,Ian Mitchell,UK,5
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,ICAEW,ICAEW,UK,3
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,,ICAEW,Ireland,3
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,ICI Global,ICI Global,US,3
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,IFA Mexico,IFA Mexico,Mexico,1
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,Insurance Company Working Group on BEPS,Insurance Company Working Group on BEPS,world,2
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,Insurance Europe,Insurance Europe,europe,2
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,InterContinental Hotels Group (IHG),InterContinental Hotels Group (IHG),UK,2
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,International Alliance for Principled Taxation (IAPT),International Alliance for Principled Taxation (IAPT),world,2
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,International Bar Association (IBA),International Bar Association (IBA),UK,3
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,International Chamber of Commerce (ICC),International Chamber of Commerce (ICC),world,2
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,International Underwriting Association,International Underwriting Association,UK,2
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,The Investment Association,The Investment Association,UK,2
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,Japan Foreign Trade Council (JFTC),Japan Foreign Trade Council (JFTC),Japan,2
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,Keidanren,Keidanren,Japan,2
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,KPMG,KPMG,world,3
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,Matheson,Matheson,world,3
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,Mazars,Mazars,France,3
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,MEDEF,MEDEF,France,2
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,National Foreign Trade Council (NFTC),National Foreign Trade Council (NFTC),US,2
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,Petrofac,Petrofac,UK,2
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,PwC Ireland,PwC,world,3
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,PwC,PwC,world,3
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,RELX Group,RELX Group,UK,3
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,Repsol,Repsol,Spain,2
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,SABMiller,SABMiller,UK,2
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,Silicon Valley Tax Directors Group,Silicon Valley Tax Directors Group (SVTDG),US,2
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,Software Coalition,Software Coalition,US,2
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,Swiss Bankers Association,Swiss Bankers Association,switzerland,2
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,"Tax Executives Institute, Inc","Tax Executives Institute, Inc",world,3
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,TD Bank,TD Bank,US,2
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,Treaty Policy Working Group,Treaty Policy Working Group,world,2
Action 07,Prevent the Artificial Avoidance of PE Status 12/06/2015,United States Council for International Business (USCIB),United States Council for International Business (USCIB),US,3
Action 03,Strengthening CFC Rules,AFME-BBA (Association for Financial Markets in Europe - British Bankers’ Association),AFME (Association for Financial Markets in Europe),europe,2
Action 03,Strengthening CFC Rules,,BBA (British Bankers’ Association),UK,2
Action 03,Strengthening CFC Rules,Alternative Investment Management Association (AIMA),Alternative Investment Management Association (AIMA),UK,2
Action 03,Strengthening CFC Rules,Association of British Insurers (ABI),Association of British Insurers (ABI),UK,2
Action 03,Strengthening CFC Rules,AstraZeneca,AstraZeneca,Sweden,2
Action 03,Strengthening CFC Rules,,AstraZeneca,UK,2
Action 03,Strengthening CFC Rules,Banking and Finance Company Working Group on BEPS,Banking and Finance Company Working Group on BEPS,world,2
Action 03,Strengthening CFC Rules,BASF,BASF,Germany,2
Action 03,Strengthening CFC Rules,BDI,BDI,Germany,2
Action 03,Strengthening CFC Rules,BEITEN BURKHARDT,BEITEN BURKHARDT,Germany,3
Action 03,Strengthening CFC Rules,BEPS Monitoring Group (BMG),BEPS Monitoring Group (BMG),world,1
Action 03,Strengthening CFC Rules,BIAC,BIAC,world,2
Action 03,Strengthening CFC Rules,Brazilian National Confederation of Industry (CNI),Brazilian National Confederation of Industry (CNI),Brasil,2
Action 03,Strengthening CFC Rules,BusinessEurope,BusinessEurope,europe,2
Action 03,Strengthening CFC Rules,Canadian Life and Health Insurance Association (CLHIA),Canadian Life and Health Insurance Association (CLHIA),canada,2
Action 03,Strengthening CFC Rules,CBI,CBI (Confederation of British Industry),UK,2
Action 03,Strengthening CFC Rules,CFE (Confédération Fiscale Européenne) and AOTCA (Asia-Oceania Tax Consultants´ Association),Confédération Fiscale Européenne (CFE),europe,3
Action 03,Strengthening CFC Rules,,AOTCA (Asia Oceania Tax Consultants Association),asia,3
Action 03,Strengthening CFC Rules,Chartered Institute of Taxation (CIOT),Chartered Institute of Taxation (CIOT),UK,5
Action 03,Strengthening CFC Rules,Confederation of Indian Industry (CII),Confederation of Indian Industry (CII),india,2
Action 03,Strengthening CFC Rules,Confederation of Swedish Enterprise,Confederation of Swedish Enterprise,Sweden,2
Action 03,Strengthening CFC Rules,Consultative Committee of Accountancy Bodies - Ireland,Consultative Committee of Accountancy Bodies - Ireland,Ireland,3
Action 03,Strengthening CFC Rules,Costa Rica_Ministry of Finance,Costa Rica_Ministry of Finance,costa rica,4
Action 03,Strengthening CFC Rules,Del Vecchio_Diego,Del Vecchio_Diego,italy,5
Action 03,Strengthening CFC Rules,Deloitte,Deloitte,world,3
Action 03,Strengthening CFC Rules,Demerci_Abdulkadir,Demerci_Abdulkadir,turkey,4
Action 03,Strengthening CFC Rules,DRTP Consulting Inc.,DRTP Consulting Inc.,world,3
Action 03,Strengthening CFC Rules,EBIT,EBIT,europe,3
Action 03,Strengthening CFC Rules,EY,EY,world,3
Action 03,Strengthening CFC Rules,Fédération Française des Sociétés d'Assurances (FFSA),Fédération Française des Sociétés d'Assurances (FFSA),France,2
Action 03,Strengthening CFC Rules,Gazprom,Gazprom,Russia,2
Action 03,Strengthening CFC Rules,Global Federation of Insurance Associations (GFIA),Global Federation of Insurance Associations (GFIA),world,2
Action 03,Strengthening CFC Rules,Grant Thornton International Ltd,Grant Thornton,world,3
Action 03,Strengthening CFC Rules,ICAEW,ICAEW,UK,3
Action 03,Strengthening CFC Rules,,ICAEW,Ireland,3
Action 03,Strengthening CFC Rules,IFA Grupo Mexicano (Mexican Branch of the International Fiscal Association),IFA Mexico,Mexico,1
Action 03,Strengthening CFC Rules,Insurance Company Working Group on BEPS,Insurance Company Working Group on BEPS,world,2
Action 03,Strengthening CFC Rules,Insurance Europe,Insurance Europe,europe,2
Action 03,Strengthening CFC Rules,InterContinental Hotels Group (IHG),InterContinental Hotels Group (IHG),UK,2
Action 03,Strengthening CFC Rules,International Alliance for Principled Taxation (IAPT),International Alliance for Principled Taxation (IAPT),world,2
Action 03,Strengthening CFC Rules,International Chamber of Commerce (ICC),International Chamber of Commerce (ICC),world,2
Action 03,Strengthening CFC Rules,International Underwriting Association,International Underwriting Association,UK,2
Action 03,Strengthening CFC Rules,Japan Foreign Trade Council (JFTC),Japan Foreign Trade Council (JFTC),Japan,2
Action 03,Strengthening CFC Rules,Keidanren,Keidanren,Japan,2
Action 03,Strengthening CFC Rules,KPMG,KPMG,world,3
Action 03,Strengthening CFC Rules,Kuzniacki_Blazej,Kuzniacki_Blazej,norway,5
Action 03,Strengthening CFC Rules,Ludovici & Partners,Ludovici & Partners,italy,3
Action 03,Strengthening CFC Rules,Matheson,Matheson,world,3
Action 03,Strengthening CFC Rules,MEDEF,MEDEF,France,2
Action 03,Strengthening CFC Rules,Müller Johann,Müller Johann,Germany,5
Action 03,Strengthening CFC Rules,Murphy_Lawrence,Murphy_Lawrence,US,5
Action 03,Strengthening CFC Rules,National Foreign Trade Council (NFTC),National Foreign Trade Council (NFTC),US,2
Action 03,Strengthening CFC Rules,Pistone_Pasquale,Pistone_Pasquale,italy,5
Action 03,Strengthening CFC Rules,PwC,PwC,world,3
Action 03,Strengthening CFC Rules,Repsol,Repsol,Spain,2
Action 03,Strengthening CFC Rules,Rödl & Partner,Rödl & Partner,France,3
Action 03,Strengthening CFC Rules,Swiss Bankers Association,Swiss Bankers Association,switzerland,2
Action 03,Strengthening CFC Rules,SwissHoldings,SwissHoldings,switzerland,2
Action 03,Strengthening CFC Rules,"Tax Executives Institute, Inc","Tax Executives Institute, Inc",world,3
Action 03,Strengthening CFC Rules,Taxand,Taxand,world,3
Action 03,Strengthening CFC Rules,TD Bank Group,TD Bank,US,2
Action 03,Strengthening CFC Rules,The Investment Association,The Investment Association,UK,2
